id,main,secondary,name,city,street,streetNumber,ZipCode,Lat,Long
4184996235,tourism,artwork,Monumento a Indro Montanelli,,,,,45.473489800001,9.1962242999998
4184996258,tourism,artwork,I quattro Cavalieri dell'Apocalisse e il bianco Cavallo della Pace,,,,,45.473429600001,9.1966199999998
4250034815,tourism,artwork,,,,,,45.467850100001,9.2065665999998
4255783790,tourism,artwork,,,,,,45.458290100001,9.1828112999998
4548851245,tourism,artwork,Statua di Vertumno,,,,,45.472026100002,9.1920847999998
4819958725,tourism,artwork,Graffiti,,,,,45.453776700001,9.1819864999998
4951005935,tourism,artwork,Statua a Cesare Beccaria,,,,,45.464203200001,9.1948205999999
5365452501,tourism,artwork,Cardinale in piedi,,,,,45.462597000002,9.1764934999998
5414611343,tourism,artwork,San Giovanni Nepomuceno,,,,,45.470262600002,9.1794561999998
5824304883,tourism,artwork,Monumento a Giuseppe Giacosa,,,,,45.474841100002,9.1983536999999
6202918407,tourism,artwork,,,,,,45.459466500002,9.2050945999998
6202918408,tourism,artwork,,,,,,45.459857800002,9.2057114999998
7080253619,tourism,artwork,Mosaico del toro,,,,,45.465610700002,9.1898626999998
7279487516,tourism,artwork,Italia Turrita,,,,,45.475082700002,9.1990959999998
8187542905,tourism,artwork,Caccia al cinghiale,,,,,45.461503200002,9.1976880999998
8669591003,tourism,artwork,4 sedili in pietra,,,,,45.472244100002,9.1923308999998
9078574896,tourism,artwork,,,,,,45.471969100002,9.1729221999998
9078574897,tourism,artwork,,,,,,45.471219300002,9.1738378999998
9110353956,tourism,artwork,Cristina Trivulzio di Belgiojoso,,,,,45.467506200002,9.1923602999998
9356475747,tourism,artwork,,,,,,45.465494500002,9.1900264999998
9356475748,tourism,artwork,,,,,,45.465612000002,9.1901865999998
9356475749,tourism,artwork,,,,,,45.465721200002,9.1900265999998
9583558615,tourism,artwork,,,,,,45.463779600002,9.1860938999997
9821813039,tourism,artwork,Sguardo Fisico,,,,,45.460296300002,9.1935217999998
1000000177049269,tourism,artwork,Ponte delle Sirenette,,,,,45.473109100002,9.1766970999998
1000000252785900,tourism,artwork,Monumento a Sandro Pertini,,,,,45.470300300002,9.1923503999998
1000000529548202,tourism,artwork,Giuseppe Parini,,,,,45.465538700002,9.1860304999998
1000000736473257,tourism,artwork,Bagni misteriosi,,,,,45.472959500002,9.1747187999998
620901716,amenity,atm,,,,,,45.4575609,9.1874642999999
1314985635,amenity,atm,Intesa Sanpaolo,,,,,45.4711329,9.1686301999999
1314985636,amenity,atm,,,,,,45.4717041,9.1683576999999
1314985637,amenity,atm,Banca Popolare di Sondrio,,,,,45.4708681,9.1688793999999
1350644856,amenity,atm,UniCredit Bank,,,,,45.4641757,9.1834365999999
2075271879,amenity,atm,Deutsche Bank,,,,,45.456896,9.1845542999998
2399589582,amenity,atm,UniCredit Bank,,,,,45.4757286,9.1943290999998
2838348856,amenity,atm,,,,,,45.4687662,9.1836752999998
2981774560,amenity,atm,,,,,,45.4668576,9.1838679999998
3018903722,amenity,atm,Deutsche Bank,,,,,45.4633152,9.1998055999998
3137355881,amenity,atm,UniCredit Bank,,,,,45.4670889,9.1973316999998
3310014545,amenity,atm,,,,,,45.4662356,9.1915988999998
4184998120,amenity,atm,BNL,,,,,45.477360300001,9.1956688999998
4184999889,amenity,atm,,,,,,45.477541200001,9.1970924999998
4608456478,amenity,atm,,,,,,45.477155100001,9.1960580999998
4608456479,amenity,atm,,,,,,45.474385500001,9.1949869999998
4669464972,amenity,atm,,,,,,45.477018500001,9.1888216999998
4741087539,amenity,atm,Credem,,,,,45.467182600001,9.2030164999998
4741111484,amenity,atm,BPER Banca,,,,,45.465131100001,9.1838001999998
4754121983,amenity,atm,,,,,,45.465816100001,9.1734593999998
4824577886,amenity,atm,,,,,,45.473509100001,9.1898193999999
4824581331,amenity,atm,,,,,,45.479772600001,9.1943144999999
5033959081,amenity,atm,,,,,,45.463845200002,9.1842966999999
5033959470,amenity,atm,Banca Popolare di Sondrio,,,,,45.463790600002,9.1834410999999
5119505254,amenity,atm,Postamat,,,,,45.459021400002,9.1814620999999
5417230104,amenity,atm,,,,,,45.464462200002,9.1874455999998
5486065968,amenity,atm,Intesa Sanpaolo,,,,,45.468622000002,9.1888783999998
5798260284,amenity,atm,Postamat,,,,,45.477986800002,9.2008805999999
5841697411,amenity,atm,,,,,,45.466691100002,9.1931341999999
5993628884,amenity,atm,,,,,,45.472142800002,9.2067960999999
6202918244,amenity,atm,,,,,,45.462070200002,9.2024176999999
6763569169,amenity,atm,Intesa Sanpaolo,,,,,45.462537200001,9.1883771999998
6763575197,amenity,atm,Unipol,,,,,45.461411800001,9.1878613999998
6910530523,amenity,atm,,,,,,45.454492500002,9.1732784999998
8669591006,amenity,atm,,,,,,45.465005400002,9.1934101999998
8826985962,amenity,atm,Monte dei Paschi di Siena,,,,,45.477407900002,9.1685534999998
9551949096,amenity,atm,Intesa Sanpaolo,,Corso Magenta,32,20123,45.466161700002,9.1769384999998
9668241977,amenity,atm,,,,,,45.462992000002,9.1897651999998
